title,short_title,link,saleprice,oldprice,ratings,percentoff
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
"HP 128GB MicroSD Memory Card SDXC mi310 Class 10, UHS-I, U1 Card, Upto 140MB/s R, 10 Y Warranty",HP 128GB MicroSD Memory C,https://www.amazon.in/HP-128GB-MicroSD-U1-TF/dp/B07DJGJ18T/ref=sr_1_16?keywords=sd+card&qid=1701351101&sr=8-16,1052.0,5700.0,"37,143",81.54385964912281
